time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/loss,train/explained_variance,train/n_updates,train/value_loss,train/learning_rate,train/approx_kl,train/clip_fraction
2750,0.25926775,63,1.03,46,129024,-0.054732045967830344,-6.842039456963539,0.2,-0.05506313219666481,0.1433042287826538,620,0.019848433998413385,0.0003,0.06399724,0.3587890625
2794,0.26325692,64,1.02,46,131072,-0.062024529489281124,-6.775551867485047,0.2,-0.09427261352539062,0.10167986154556274,630,0.021785827973508275,0.0003,0.080924444,0.38408203125
2841,0.28103396,65,1.01,46,133120,-0.06010846200806554,-6.782938203215599,0.2,-0.07811332494020462,0.12190479040145874,640,0.020844671220402233,0.0003,0.08596514,0.388916015625
2887,0.28684472,66,1.03,46,135168,-0.06127381109399721,-6.730572764575482,0.2,-0.09767662733793259,0.13374704122543335,650,0.02002191522915382,0.0003,0.092782855,0.393408203125
2931,0.26849308,67,1.0,46,137216,-0.06003105246199993,-6.688697794079781,0.2,-0.10986355692148209,0.1690008044242859,660,0.01929679702152498,0.0003,0.08496958,0.41259765625
2978,0.28002923999999996,68,1.03,46,139264,-0.05555977912154049,-6.675323957204819,0.2,-0.09486445784568787,0.13766765594482422,670,0.020579026735504158,0.0003,0.07532331,0.381396484375
3022,0.25728185,69,1.01,46,141312,-0.0556719010026427,-6.640498875081539,0.2,-0.08553169667720795,0.14688944816589355,680,0.01974277989938855,0.0003,0.08583076,0.41376953125
3068,0.29768387,70,1.0,46,143360,-0.05969615933136083,-6.613493810594082,0.2,-0.08311564475297928,0.09376919269561768,690,0.021946195777854883,0.0003,0.07314177,0.373876953125
3113,0.27151899999999995,71,1.01,46,145408,-0.05392557784798555,-6.594120821356773,0.2,-0.07998425513505936,0.14259546995162964,700,0.02098984698532149,0.0003,0.07359952,0.4041015625
3158,0.26689913,72,1.02,46,147456,-0.05444971791584976,-6.52245806157589,0.2,-0.0966978594660759,0.1519620418548584,710,0.019100867383531294,0.0003,0.08667824,0.399169921875
